product_id,name,brand,color,size,material,description
101,Product 1,Brand 0,Red,10,Synthetic,"Generate a product description for a Red 10 Synthetic Brand 0 Product 1.25

Graphic (in color) [ edit | edit source ]

The Product Product is a unique resource in that it contains the list of products that may or may not be available on a Product. You do not need to enter any info other than the name of the product. The only problem with this product is that if this list is displayed on an image, there are several problems you need to address"
102,Product 2,Brand 1,Black,,Plastic,"Generate a product description for a Black nan Plastic Brand 1 Product 2.6ml bottles with an orange-white base and 2 white-blonde finishes.

You can order from the black website.

How this works

Each product is packed in a white paper bag, and then packaged in different shipping methods using a separate box.

Packages sent out by email or postal service include:

white paper bag

6 1/2"" x 1"" 3"
103,Product 3,Brand 2,Blue,M,Cotton,"Generate a product description for a Blue M Cotton Brand 2 Product 3.0 2 - 20 $1.40 2 10 $24.95 0 0 $0.00 3 0 $0.00

Inventory Description

2nd Product 2 - 20 $1.40 30 30 $12.50 1.00 10 $36.95 - - - -

Inventory Description

3rd Product 3 - 20 $1.40 40 40 $44.95 -"
104,Product 4,Brand 3,Silver,,Metal,Generate a product description for a Silver nan Metal Brand 3 Product 4.0/5 4.5/7 3.5/8 1.0 1.5 2.0/3 3.0/4 1.80 1.2/4 1.8/4 0.0 1.4/4 4.0/5 9.0/8 8.5/9 6.0/11 6.5/12 7.0/12 8.0/12
105,Product 5,Brand 4,Gray,15-inch,Aluminum,"Generate a product description for a Gray 15-inch Aluminum Brand 4 Product 5.7 or better.

Specifications and Features

Size: 15.9 mm x 13.3 mm x 4.8 mm Weight: 45 g (12.8 lb)


Specifications:

Product Type: Alloy - Light Metal

Colour: Yellow with green/gray metallic stripes

Capacity: 3.5ml + 3.99 oz (3.00 ml"
106,Product 6,Brand 0,Green,,Paper,"Generate a product description for a Green nan Paper Brand 0 Product 6.0

Product 2 Product 1 Product (5-9) Product 2 Product (5-9) Product 5 Product 10 0 Product 12 0 Product 14 0 Product 22 0 Product 25 0 Product 27 0 Product 28 0 Product 29 0 Product 30 0 Product 36 0 Product 40 0 Product 42 0 Product 47 0 Product 46 0 Product 49 0 Product 50 0 Product 50 0 Product 50 0 Product 50 0 Product 50 0 Product 5"
107,Product 7,Brand 1,Orange,L,Wool,Generate a product description for a Orange L Wool Brand 1 Product 7.2g Product 15g 1 Product 15g 1 Product 15g 1 Product 14g 1 Product 14g 1 Product 14g 1 Product 13g 1 1 Brand 11.5g 1 Product 11.4g 1 Item 6.5g 12.0g 2 Brand 7g 2.2g 5 Brand 8g 2 Brand 7g 2 Brand 7g 1 Brand 8g 3 Brand 8g 1 Brand 8g 1
108,Product 8,Brand 2,Red,10,Leather,"Generate a product description for a Red 10 Leather Brand 2 Product 8.5% Discount.

Product description for a Red 10 Leather Brand

The only item available for purchase after the expiration date of this deal.

If this deals you a 6-Day Special Offer, you will not be charged for this item, so long as you still choose the 6-Day offer.

The deal is valid for 6 more days beginning Thursday, June 23.

This promotion is"
109,Product 9,Brand 3,Black,,Synthetic,"Generate a product description for a Black nan Synthetic Brand 3 Product 9.


Cocoa

Gum Brands

Yodel

Scent Co

Fountain Lion

Melt

Chilling Effects

Scent Co 2 4.


Applebee's

Applebee's UK

Applebee's USA 2 5.


Coca Cola

Amber Tea

Aloe vera

Tea Leaf"
110,Product 10,Brand 4,Blue,M,Plastic,"Generate a product description for a Blue M Plastic Brand 4 Product 10.0 2,080 (26K) 3,160 (18K) 2,040 (10K) (16K) 5,500 (5K) 4,060 (10K) 1,500 (4K) 12,000 (3K) 3,600 (4K) 11,000 (4K) 11,000 (5K) 3,300 (4K) 11,000"
111,Product 11,Brand 0,Silver,,Cotton,"Generate a product description for a Silver nan Cotton Brand 0 Product 11.5 Product 4.5 Product 5.5 Product 6 Product 7 Product 8 Product 9 Product 10 Product 11 Product 12 Product 13 PRINT: Test for quality

Specifies the strength of the product by comparing all elements together. PRODUCT

Specifies the type of the product. PRINT: Test for quality

Specifies the maximum strength of the product. PRODUCT PRINT: Test for quality

Specifies"
112,Product 12,Brand 1,Gray,15-inch,Metal,"Generate a product description for a Gray 15-inch Metal Brand 1 Product 12.11 1:16.00 1:18.00 Quantity Limit 1:22.00 2:07.00

Product Description"
113,Product 13,Brand 2,Green,,Aluminum,"Generate a product description for a Green nan Aluminum Brand 2 Product 13.0"" by 20"" x 30"" by 7.5"" x 11"" A-Z 1 to 2 oz 5.00 Grams 0.67 mg 1.00 g 0.45 g, oz 1.00 g 0.00 g 10 mg 0.50 mg 1.00 g 0.50 g 10 mg 0.50 mg 3 mg 3 mg 4 mg 5 mg 6 mg 7 mg 8 mg 10"
114,Product 14,Brand 3,Orange,L,Paper,"Generate a product description for a Orange L Paper Brand 3 Product 14.5

Product Description

The packaging and the instructions of the orange paper product can be viewed here: http://www.orangepaperproducts.com/index.asp

Orange Paper Brand:

Orange Paper Products

Orange Paper Materials and Supplies

Orange Paper Products

Orange Paper Products

Orange Paper Products

Orange Paper Product Dimensions

2x1.5″ x 10"
115,Product 15,Brand 4,Red,10,Wool,"Generate a product description for a Red 10 Wool Brand 4 Product 15.50% off.

Retail prices for 20% off will apply to items that are already on sale and eligible for a 20% discount on certain orders, such as items with a physical border, including:

Red 10 Wool Brand 3 Product 24.90% off

Red Wool Brand 3 Product 8.50% off

Red Wool Brand 3

Red Wool Brand 3.5 Product 6."
116,Product 16,Brand 0,Black,,Leather,"Generate a product description for a Black nan Leather Brand 0 Product 16.6% Price 25.9% Product 15.0% Product 14.4% Product 13.0% Product 12.8% Product 11.9% Product 10.3% Product 9.9% 0

Price tags

$34.9

$49.3

$99.9

$109.9

$189.1

$274.1"
117,Product 17,Brand 1,Blue,M,Synthetic,"Generate a product description for a Blue M Synthetic Brand 1 Product 17.2

18.4 KB Sales

Product Info

Product ID Code

Product Body Type

Product Size

Product Width

Product Height

Product Weight

Product Colors

Product Text

Product Content

Product Audio

Product Video

Product Audio Text

Product Image

Product Images

Customer Reviews

Order: The Acute Force 2"
118,Product 18,Brand 2,Silver,,Plastic,Generate a product description for a Silver nan Plastic Brand 2 Product 18.02.2013.12:24:43 INFO - [S] Product: SMB12_1 Product: SMB12_2 Product: SMB12_3 Product: SMB12_4 Product: SMB12_5 Product: SMB12_6 Product: SMB12_7 Product: SMB12_8 Product: SMB12_9 Product: SMB13 Product: SM
